Ir,アイアール
啀み合い,イガミアイ
行当り,イキアタリ
生写し,イキウツシ
行き帰り,イキカエリ
行掛り,イキガカリ
生き鰈,イキガレイ
生き曝し,イキサラシ
生き魚,イキザカナ
行き渋り,イキシブリ
閾上,イキジョウ
行倒れ,イキダオレ
行違い,イキチガイ
息遣い,イキヅカイ
生き作り,イキヅクリ
行詰り,イキヅマリ
憤り,イキドオリ
行き所,イキドコロ
行止り,イキドマリ
生残り,イキノコリ
生仏,イキボトケ
息休め,イキヤスメ
生霊,イキリョウ
生き別れ,イキワカレ
行わたり,イキワタリ
育休,イクキュウ
戦神,イクサガミ
戦好き,イクサズキ
戦慣れ,イクサナレ
軍人,イクサビト
軍船,イクサブネ
育苗,イクビョウ
イクリプス,イクリプス
イクロール,イクロール
イグナイト,イグナイト
イグレック,イグレック
生け鰻,イケウナギ
生作り,イケヅクリ
池堤,イケヅツミ
池ぽちゃ,イケポチャ
池向こう,イケムコウ
いごっそう,イゴッソウ
イサゴール,イサゴール
勇み足,イサミアシ
勇み肌,イサミハダ
イザイホウ,イザイホウ
膝行足,イザリアシ
躄魚,イザリウオ
石頭,イシアタマ
石集め,イシアツメ
石海豚,イシイルカ
石落とし,イシオトシ
イシオピア,イシオピア
石瓦,イシカワラ
石囲い,イシガコイ
石鰈,イシガレイ
石狐,イシギツネ
石水母,イシクラゲ
石言葉,イシコトバ
石衣,イシゴロモ
石敲き,イシタタキ
石畳み,イシダタミ
石飛礫,イシツブテ
石机,イシヅクエ
石造り,イシヅクリ
石鳥居,イシドリイ
石運び,イシハコビ
石鮃,イシビラメ
石祠,イシホコラ
石仏,イシボトケ
石枕,イシマクラ
イジェクト,イジェクト
苛めっ子,イジメッコ
弄り物,イジリモノ
イスコチン,イスコチン
イスナード,イスナード
是班牙,イスパニア
イスパハン,イスパハン
イスマール,イスマール
Israel,イスラエル
イスラミア,イスラミア
泉殿,イズミドノ
磯遊び,イソアソビ
イソアミル,イソアミル
居候,イソウロウ
急足,イソギアシ
磯菫,イソスミレ
磯躑躅,イソツツジ
磯造り,イソヅクリ
イソブチル,イソブチル
イソプレン,イソプレン
イソホロン,イソホロン
磯鮪,イソマグロ
イソマルト,イソマルト
板囲い,イタガコイ
板頭,イタガシラ
板削り,イタケズリ
板蔀,イタジトミ
板状,イタジョウ
板畳,イタダタミ
板違い,イタチガイ
鼬萩,イタチハギ
鼬筆,イタチフデ
板長,イタチョウ
板チョコ,イタチョコ
板作り,イタヅクリ
板扉,イタトビラ
板挾み,イタバサミ
板庇,イタビサシ
痛み止め,イタミドメ
痛み分け,イタミワケ
炒め揚げ,イタメアゲ
撓革,イタメガワ
炒め塩,イタメジオ
炒め汁,イタメジル
炒め鍋,イタメナベ
炒め葱,イタメネギ
炒め蒸し,イタメムシ
炒め物,イタメモノ
炒め焼き,イタメヤキ
炒め茹で,イタメユデ
イターリアン,イタリアン
イタリック,イタリック
一業,イチギョウ
苺味,イチゴアジ
苺色,イチゴイロ
イチゴガイ,イチゴガイ
苺柄,イチゴガラ
苺狩り,イチゴガリ
苺酒,イチゴザケ
苺舌,イチゴジタ
苺摘み,イチゴツミ
苺肌,イチゴハダ
苺鼻,イチゴバナ
一小,イチショウ
一旬,イチジュン
一條,イチジョウ
"1,2塁",イチニルイ
市正,イチノカミ
一の膳,イチノゼン
一の酉,イチノトリ
市聖,イチヒジリ
一病,イチビョウ
市祭,イチマツリ
一脈,イチミャク
いちゃつき,イチャツキ
イチャモン,イチャモン
イチャンダ,イチャンダ
一流,イチリュウ
一竜,イチリョウ
逸興,イッキョウ
一蹴,イッシュウ
逸出,イッシュツ
一瞬,イッシュン
一笑,イッショウ
一触,イッショク
一籌,イッチュウ
一長,イッチョウ
一瓢,イッピョウ
五重衣,イツエギヌ
慈しみ,イツクシミ
五衣,イツツギヌ
溢乳,イツニュウ
伍宮,イツノミヤ
溢流,イツリュウ
凍蝶,イテチョウ
イディオム,イディオム
糸うねり,イトウネリ
糸縅,イトオドシ
糸縢,イトカガリ
糸鰹,イトガツオ
糸車,イトグルマ
従兄弟役,イトコヤク
従兄弟連,イトコレン
糸捌き,イトサバキ
糸桜,イトザクラ
糸薄,イトススキ
糸紡ぎ,イトツムギ
糸造り,イトヅクリ
糸通し,イトトオシ
糸蜻蛉,イトトンボ
糸問屋,イトドンヤ
糸解き,イトホドキ
暇乞ひ,イトマゴイ
糸蚯蚓,イトミミズ
糸結び,イトムスビ
糸柳,イトヤナギ
イトレリン,イトレリン
田舎縞,イナカジマ
田舎蕎麦,イナカソバ
田舎っぺ,イナカッペ
田舎寺,イナカデラ
田舎弁,イナカベン
田舎町,イナカマチ
田舎道,イナカミチ
田舎村,イナカムラ
田舎者,イナカモノ
田舎盛り,イナカモリ
蝗捕り,イナゴトリ
稲子豆,イナゴマメ
稲雀,イナスズメ
イナダ釣り,イナダツリ
稲光り,イナビカリ
稲荷鮨,イナリズシ
イナーシャ,イナーシャ
イニシャル,イニシャル
犬親父,イヌオヤジ
犬芥子,イヌガラシ
犬潜り,イヌクグリ
犬御飯,イヌゴハン
犬桜,イヌザクラ
犬焦らし,イヌジラシ
犬印,イヌジルシ
犬座り,イヌズワリ
犬婚,イヌタワケ
犬作り,イヌツクリ
犬薺,イヌナズナ
犬走り,イヌバシリ
犬陰嚢,イヌフグリ
犬防ぎ,イヌフセギ
犬屋敷,イヌヤシキ
犬矢来,イヌヤライ
稲作り,イネツクリ
稲作り,イネヅクリ
牛膝,イノコズチ
イノセント,イノセント
生命がけ,イノチガケ
命釘,イノチクギ
命請い,イノチゴイ
命綱,イノチヅナ
命取り,イノチトリ
命長,イノチナガ
イノベート,イノベート
祈り事,イノリゴト
イハカムナ,イハカムナ
茨髭,イバラヒゲ
茨道,イバラミチ
イヴァルディ,イバルディ
イヴァーダン,イバーダン
鼾止め,イビキドメ
イビリアン,イビリアン
イフワーン,イフワーン
燻銀,イブシギン
燻し銅,イブシドウ
Evening,イブニング
イベンター,イベンター
飯食箸,イペパスイ
イペリツト,イペリット
イホマイド,イホマイド
疣細螺,イボキサゴ
いぼたのき,イボタノキ
いぼたろう,イボタロウ
イポニアズ,イポニアズ
イポノイア,イポノイア
今言葉,イマコトバ
今さっき,イマサッキ
イマザリル,イマザリル
今し方,イマシガタ
イマジゲン,イマジゲン
イマジスト,イマジスト
イマジズム,イマジズム
イマージナル,イマジナル
イマジニア,イマジニア
イマチニブ,イマチニブ
今昔,イマムカシ
イマラチオ,イマラチオ
イミキモド,イミキモド
忌詞,イミコトバ
忌み籠もり,イミコモリ
イミテート,イミテート
イミデート,イミデート
斎柱,イミハシラ
イメキャラ,イメキャラ
イメチェン,イメチェン
芋洗ひ,イモアライ
芋嵐,イモアラシ
芋頭,イモガシラ
芋御飯,イモゴハン
芋畑,イモバタケ
イモーテル,イモーテル
嫌がらせ,イヤガラセ
癒し猫,イヤシネコ
イヤリング,イヤリング
移輸出,イユシュツ
イヨマンテ,イヨマンテ
イラニアン,イラニアン
イラマチオ,イラマチオ
イラーヒー,イラーヒー
イリアック,イリアック
イリヂウム,イリジウム
炒り卵,イリタマゴ
入り浸り,イリビタリ
イリュリア,イリュリア
イリューム,イリューム
入代り,イレカワリ
イレクター,イレクター
入れ違い,イレチガイ
入れ違え,イレチガエ
11th,イレブンス
入れ黒子,イレボクロ
イレーザー,イレーサー
色遊び,イロアソビ
色合わせ,イロアワセ
色移り,イロウツリ
色漆,イロウルシ
色選び,イロエラビ
色男,イロオトコ
色女,イロオンナ
色形,イロカタチ
色かぶり,イロカブリ
色変わり,イロガワリ
色崩れ,イロクズレ
色ぐすみ,イログスミ
色狂い,イログルイ
色好み,イロゴノミ
色盛り,イロザカリ
色仕掛け,イロジカケ
色揃え,イロゾロエ
色違い,イロチガイ
色遣い,イロヅカイ
色作り,イロヅクリ
色直し,イロナオシ
色馴染み,イロナジミ
伊呂波歌,イロハウタ
色葉仮字,イロハガナ
色話,イロバナシ
色暈し,イロボカシ
囲炉裏棚,イロリダナ
囲炉裏端,イロリバタ
祝ひ歌,イワイウタ
祝金,イワイキン
祝事,イワイゴト
祝酒,イワイザケ
祝膳,イワイゼン
祝箸,イワイバシ
祝舞,イワイマイ
祝い水,イワイミズ
祝餅,イワイモチ
祝い物,イワイモノ
岩鏡,イワカガミ
岩蔓,イワカズラ
岩崩れ,イワクズレ
鰯網,イワシアミ
鰯売り,イワシウリ
鰯缶,イワシカン
鰯雲,イワシグモ
鰯肉,イワシニク
鰯節,イワシブシ
石清水,イワシミズ
岩田帯,イワタオビ
岩畳み,イワダタミ
岩狸,イワダヌキ
岩躑躅,イワツツジ
岩燕,イワツバメ
岩造り,イワヅクリ
岩雪崩,イワナダレ
岩魚釣り,イワナツリ
岩登り,イワノボリ
岩雲雀,イワヒバリ
岩襖,イワブスマ
岩稜,イワリョウ
韻脚,インキャク
韻響,インキョウ
陰極,インキョク
淫虐,インギャク
隠形,インギョウ
インクルヴァ,インクルバ
Ingress,イングレス
イングーシ,イングーシ
インゴット,インゴット
インサイド,インサイド
INSERT,インサート
インスィグネ,インシグネ
隠修,インシュウ
引證,インショウ
飲食,インショク
インジウム,インジウム
陰獣,インジュウ
因循,インジュン
淫情,インジョウ
INDSCAL,インスカル
インセクト,インセクト
インセスト,インセスト
インセンス,インセンス
インソール,インソール
インタリヨ,インタリヨ
インターン,インターン
インダシン,インダシン
インダニル,インダニル
韻紐,インチュウ
院長,インチョウ
インテイン,インテイン
インテリオル,インテリア
インテンス,インテンス
インテント,インテント
インテーク,インテーク
印度,インディア
インディオ,インディオ
インデカ,インディカ
インディーズ,インディー
インデント,インデント
イントゥー,イントゥー
イントロン,イントロン
インドール,インドール
飲尿,インニョウ
インバース,インバース
Impact,インパクト
インパスト,インパスト
IMPATT,インパット
インパルス,インパルス
インヒビン,インヒビン
インヴィクタ,インビクタ
インフィニ,インフィニ
インフィル,インフィル
韻塞ぎ,インフタギ
インブイア,インブイア
input,インプット
インプレス,インプレス
インベスト,インベスト
インヴェント,インベント
インペトス,インペトス
インペラー,インペラー
インボイス,インボイス
インボルブ,インボルブ
インポーツ,インポート
因明,インミョウ
飲料,インリョウ
引力,インリョク
インレット,インレット
ER,イーアール
EQ,イーキュー
EJ,イージェー
eastern,イースタン
イースター,イースター
EZ,イーゼット
ET,イーティー
ED,イーディー
イーマーン,イーマーン
イーリアン,イーリアン
イーワーン,イーワーン
ウアラウプ,ウアラウプ
ウィアード,ウィアード
ウィグラー,ウィグラー
ウィザラテ,ウィザラテ
ウィザード,ウィザード
ウィジャン,ウィジャン
ウィジョン,ウィジョン
ウィスパー,ウィスパー
ウィズイン,ウィズイン
ウィッカー,ウィッカー
ウイッシュ,ウィッシュ
ウィップト,ウィップト
ウィノナズ,ウィノナズ
ウイメンズ,ウィメンズ
ウィーヴァー,ウィーバー
茴香,ウイキョウ
ウイスカー,ウイスカー
Whisky,ウイスキー
ウイニング,ウイニング
ウイロイド,ウイロイド
ウインカー,ウインカー
ウインター,ウインター
windows,ウインドー
味覇,ウェイパー
ウエスカム,ウェスカム
ウェデルリ,ウェデルリ
ウェプリス,ウェプリス
ウェリーキ,ウェリーキ
ウェルシュ,ウェルシュ
ウェルシー,ウェルシー
ウエルター,ウェルター
文閙,ウェンナオ
ウェーダー,ウェーダー
Wb,ウェーバー
上辺り,ウエアタリ
植え傷み,ウエイタミ
為好,ウエイハオ
上飾り,ウエカザリ
飢へ渇き,ウエカワキ
